channelName,subscribers,views,totalVideos,playlistId
A Haber,648000,355928460,34180,UUKQhfw-lzz0uKnE1fY1PsAA
Anadolu Ajansı,542000,346642544,16171,UUVbZYhcirOke2vipxs4lT2w
BBC News Türkçe,896000,305608318,4733,UUeMQiXmFNTtN3OHlNJxnnUw
BaBaLa TV,3970000,470395332,356,UUZ5aOEWFOopXLeiIUd2mfJw
CNN TÜRK,1500000,1572284113,50592,UUV6zcRug6Hqp1UX_FdyUeBg
Cüneyt Özdemir,1480000,421400346,4738,UUkwHQ7DWv9aqEtvAOSO74dQ
Erk Acarer,168000,18520109,307,UUVsnWUJoznC1KlRbqa7C03g
FOX Haber,669000,338523932,28359,UUbq0bGdShXK5dMzEDU7nThA
Habertürk,233000,179574900,9191,UUlGZC_r-sUcBdElAtDSrQ5g
Halktv,1240000,1070787120,66365,UUf_ResXZzE-o18zACUEmyvQ
Nevşin Mengü,480000,100552898,972,UUrG27KDq7eW4YoEOYsalU9g
SÖZCÜ Televizyonu,368000,28369044,870,UUOulx_rep5O4i9y6AyDqVvw
TRT Haber,898000,467472015,24536,UUBgTP2LOFVPmq15W-RH-WXA
TV100,1120000,809113302,30034,UUndsdUW_oPLqpQJY9J8oIRg
Yeni Şafak,568000,402501642,2222,UUClO1RgRkaOcC9cLj-bLuEw
